"Region of Incident","Reported Year","Reported Month","Number Dead","Minimum Estimated Number of Missing","Number of Survivors","Number of Females","Number of Males","Number of Children","Cause of Death","Migration Route"
"Central America",2019,"Jan",1,NA,NA,NA,1,NA,"Fall from train",""
"US-Mexico Border",2019,"Jan",1,NA,NA,NA,1,NA,"Presumed drowning",""
"US-Mexico Border",2019,"Jan",1,NA,NA,NA,NA,NA,"Unknown (skeletal remains)",""
"US-Mexico Border",2019,"Jan",1,NA,NA,NA,1,NA,"Presumed drowning",""
"Mediterranean",2019,"Jan",1,NA,2,NA,1,NA,"Drowning","Western Mediterranean"
"US-Mexico Border",2019,"Jan",2,NA,NA,1,1,1,"Vehicle Accident",""
"Central America",2019,"Jan",1,NA,NA,NA,1,NA,"Fall from train",""
"US-Mexico Border",2019,"Jan",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)",""
"US-Mexico Border",2019,"Jan",1,NA,NA,NA,1,NA,"Presumed drowning",""
"US-Mexico Border",2019,"Jan",1,NA,NA,NA,1,NA,"Presumed drowning",""
"Mediterranean",2019,"Jan",1,NA,NA,1,NA,NA,"Presumed drowning","Western Mediterranean"
"Mediterranean",2019,"Jan",1,NA,106,NA,1,1,"Unknown","Central Mediterranean"
"Central America",2019,"Jan",1,NA,NA,NA,1,NA,"Fall from train",""
"Mediterranean",2019,"Jan",1,NA,2,NA,1,NA,"Drowning","Western Mediterranean"
"Mediterranean",2019,"Jan",NA,1,106,NA,1,NA,"Presumed drowning","Central Mediterranean"
"US-Mexico Border",2019,"Jan",1,NA,NA,NA,NA,NA,"Unknown (skeletal remains)",""
"US-Mexico Border",2019,"Jan",1,NA,NA,NA,NA,NA,"Unknown (skeletal remains)",""
"US-Mexico Border",2019,"Jan",1,NA,NA,NA,NA,NA,"Unknown (skeletal remains)",""
"US-Mexico Border",2019,"Jan",1,NA,NA,NA,NA,NA,"Unknown (skeletal remains)",""
"US-Mexico Border",2019,"Jan",1,NA,NA,NA,NA,NA,"Unknown (skeletal remains)",""
"Mediterranean",2019,"Jan",2,NA,141,NA,NA,NA,"Presumed drowning","Central Mediterranean"
"US-Mexico Border",2019,"Jan",1,NA,NA,NA,NA,NA,"Unknown (skeletal remains)",""
"Mediterranean",2019,"Jan",NA,117,3,10,NA,2,"Presumed drowning","Central Mediterranean"
"Mediterranean",2019,"Jan",1,NA,53,NA,1,NA,"Presumed drowning","Eastern Mediterranean"
"Mediterranean",2019,"Jan",NA,53,1,NA,NA,NA,"Presumed drowning","Western Mediterranean"
"US-Mexico Border",2019,"Jan",1,NA,NA,NA,NA,NA,"Unknown (skeletal remains)",""
"US-Mexico Border",2019,"Jan",1,NA,NA,NA,1,NA,"Dehydration",""
"US-Mexico Border",2019,"Jan",NA,1,NA,NA,1,NA,"Presumed drowning",""
"US-Mexico Border",2019,"Jan",1,NA,NA,NA,1,NA,"Drowning",""
"Mediterranean",2019,"Jan",1,NA,NA,NA,1,NA,"Hit by truck","Western Mediterranean"
"Central America",2019,"Jan",1,NA,NA,NA,1,NA,"Murdered",""
"US-Mexico Border",2019,"Jan",NA,2,NA,NA,NA,NA,"Presumed drowning",""
"Middle East",2019,"Jan",3,NA,NA,NA,3,NA,"Presumed drowning",""
"US-Mexico Border",2019,"Jan",1,NA,NA,NA,NA,NA,"Unknown (skeletal remains)",""
"Mediterranean",2019,"Jan",10,NA,NA,NA,NA,NA,"Presumed drowning","Central Mediterranean"
"Mediterranean",2019,"Jan",1,NA,40,1,NA,1,"Unknown","Eastern Mediterranean"
"US-Mexico Border",2019,"Jan",1,NA,NA,NA,1,NA,"Murdered",""
"Central America",2019,"Jan",1,NA,NA,NA,1,NA,"Hit by train",""
"Mediterranean",2019,"Jan",5,NA,NA,NA,NA,NA,"Presumed drowning","Central Mediterranean"
"Central America",2019,"Jan",1,NA,100,NA,1,NA,"Vehicle Accident",""
"Mediterranean",2019,"Jan",1,NA,6,1,NA,NA,"Presumed drowning","Western Mediterranean"
"Europe",2019,"Jan",1,NA,NA,NA,1,NA,"Hit by vehicle",""
"Mediterranean",2019,"Jan",2,NA,NA,NA,NA,NA,"Presumed drowning","Central Mediterranean"
"US-Mexico Border",2019,"Jan",1,NA,NA,NA,NA,NA,"Unknown (skeletal remains)","Central America to US"
"Mediterranean",2019,"Jan",1,NA,NA,NA,1,NA,"Presumed drowning","Western Mediterranean"
"Mediterranean",2019,"Jan",1,NA,NA,NA,1,NA,"Presumed drowning","Western Mediterranean"
"South America",2019,"Jan",1,NA,NA,NA,NA,NA,"Dehydration",""
"Mediterranean",2019,"Jan",1,NA,67,NA,NA,NA,"Presumed drowning","Western Mediterranean"
"Mediterranean",2019,"Jan",1,NA,NA,NA,1,NA,"Presumed drowning","Western Mediterranean"
"Mediterranean",2019,"Jan",6,NA,NA,NA,NA,NA,"Presumed drowning","Central Mediterranean"
"US-Mexico Border",2018,"Dec",1,NA,NA,NA,NA,NA,"Unknown (skeletal remains)","Central America to US"
"Caribbean",2018,"Dec",2,NA,9,1,1,1,"Presumed drowning",""
"Sub-Saharan Africa",2018,"Dec",14,NA,12,NA,NA,NA,"Suffocation",""
"Mediterranean",2018,"Dec",NA,7,1,NA,NA,NA,"Presumed drowning","Eastern Mediterranean"
"US-Mexico Border",2018,"Dec",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"US-Mexico Border",2018,"Dec",1,NA,NA,NA,1,NA,"Unknown",""
"Europe",2018,"Dec",1,NA,NA,NA,1,NA,"Vehicle Accident",""
"US-Mexico Border",2018,"Dec",1,NA,NA,NA,1,NA,"Hypothermia","Central America to US"
"Mediterranean",2018,"Dec",4,NA,56,NA,NA,NA,"Presumed drowning","Western Mediterranean"
"Mediterranean",2018,"Dec",NA,2,69,NA,NA,2,"Unknown","Western Mediterranean"
"Mediterranean",2018,"Dec",NA,12,NA,1,11,NA,"Presumed drowning","Western Mediterranean"
"Middle East",2018,"Dec",1,NA,NA,NA,1,NA,"Shot",""
"Mediterranean",2018,"Dec",1,NA,NA,NA,1,NA,"Presumed drowning","Western Mediterranean"
"Middle East",2018,"Dec",1,NA,NA,NA,1,NA,"Shot",""
"Mediterranean",2018,"Dec",12,12,31,2,10,NA,"Drowning","Western Mediterranean"
"US-Mexico Border",2018,"Dec",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"Mediterranean",2018,"Dec",1,NA,56,NA,NA,NA,"Unknown (found on dinghy)","Western Mediterranean"
"Mediterranean",2018,"Dec",8,12,9,3,1,2,"Drowning","Western Mediterranean"
"US-Mexico Border",2018,"Dec",1,NA,NA,NA,NA,NA,"Unknown (skeletal remains)","Central America to US"
"Europe",2018,"Dec",1,NA,NA,NA,1,NA,"Electrocution on railway",""
"US-Mexico Border",2018,"Dec",1,NA,NA,NA,1,1,"Drowning","Central America to US"
"Mediterranean",2018,"Dec",1,NA,58,NA,1,NA,"Presumed drowning","Western Mediterranean"
"Mediterranean",2018,"Dec",8,NA,NA,NA,NA,NA,"Presumed drowning","Central Mediterranean"
"US-Mexico Border",2018,"Dec",1,NA,NA,NA,1,NA,"Hit by vehicle","Central America to US"
"US-Mexico Border",2018,"Dec",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"US-Mexico Border",2018,"Dec",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"US-Mexico Border",2018,"Dec",1,NA,NA,NA,NA,NA,"Unknown (skeletal remains)","Central America to US"
"US-Mexico Border",2018,"Dec",1,NA,NA,1,NA,NA,"Unknown (skeletal remains)","Central America to US"
"US-Mexico Border",2018,"Dec",1,NA,NA,NA,NA,NA,"Unknown (skeletal remains)","Central America to US"
"Caribbean",2018,"Dec",2,4,5,1,NA,NA,"Presumed drowning",""
"US-Mexico Border",2018,"Dec",2,NA,1,NA,2,2,"Murdered","Central America to US"
"US-Mexico Border",2018,"Dec",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)",""
"Europe",2018,"Dec",3,NA,NA,NA,3,NA,"Vehicle Accident",""
"US-Mexico Border",2018,"Dec",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"Mediterranean",2018,"Dec",2,NA,49,NA,NA,NA,"Presumed drowning","Western Mediterranean"
"US-Mexico Border",2018,"Dec",1,NA,NA,NA,NA,NA,"Unknown (skeletal remains)","Central America to US"
"US-Mexico Border",2018,"Dec",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"US-Mexico Border",2018,"Dec",1,NA,NA,NA,1,NA,"Unknown",""
"US-Mexico Border",2018,"Dec",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"US-Mexico Border",2018,"Dec",1,NA,NA,NA,NA,NA,"Drowning","Central America to US"
"Central America",2018,"Dec",1,NA,3,1,NA,NA,"Shot",""
"US-Mexico Border",2018,"Dec",1,NA,NA,1,NA,1,"Sickness and lack of access to medicines","Central America to US"
"US-Mexico Border",2018,"Dec",1,NA,NA,NA,NA,NA,"Presumed drowning","Central America to US"
"Caribbean",2018,"Dec",NA,7,21,NA,NA,NA,"Presumed drowning",""
"Mediterranean",2018,"Dec",1,NA,NA,NA,1,NA,"Presumed drowning","Western Mediterranean"
"Middle East",2018,"Dec",1,NA,NA,NA,1,NA,"Hypothermia",""
"US-Mexico Border",2018,"Dec",1,NA,2,NA,1,NA,"Drowning","Central America to US"
"Mediterranean",2018,"Dec",12,3,10,NA,NA,NA,"Presumed drowning","Central Mediterranean"
"Mediterranean",2018,"Dec",3,3,5,NA,2,NA,"Presumed drowning","Western Mediterranean"
"US-Mexico Border",2018,"Dec",1,NA,NA,NA,NA,NA,"Presumed drowning","Central America to US"
"Middle East",2018,"Dec",3,NA,1,NA,2,NA,"Hypothermia",""
"US-Mexico Border",2018,"Dec",1,NA,NA,NA,1,NA,"Presumed drowning","Central America to US"
"Mediterranean",2018,"Dec",2,NA,32,NA,2,NA,"Presumed drowning","Western Mediterranean"
"US-Mexico Border",2018,"Dec",1,NA,NA,NA,NA,NA,"Presumed drowning","Central America to US"
"US-Mexico Border",2018,"Dec",1,NA,NA,NA,NA,NA,"Unknown (skeletal remains)","Central America to US"
"US-Mexico Border",2018,"Dec",1,NA,NA,NA,NA,NA,"Unknown (skeletal remains)","Central America to US"
"US-Mexico Border",2018,"Dec",1,NA,NA,1,NA,NA,"Sickness and lack of access to medicines",""
"Europe",2018,"Dec",1,NA,NA,NA,1,NA,"Hypothermia",""
"US-Mexico Border",2018,"Nov",1,NA,1,NA,1,NA,"Hit by vehicle","Central America to US"
"Europe",2018,"Nov",1,NA,NA,NA,1,NA,"Drowning","Western Balkans"
"Mediterranean",2018,"Nov",1,NA,NA,NA,1,NA,"Presumed drowning","Central Mediterranean"
"Southeast Asia",2018,"Nov",2,NA,14,NA,NA,NA,"Vehicle Accident",""
"Mediterranean",2018,"Nov",1,NA,56,1,NA,NA,"Unknown (found on dinghy)","Western Mediterranean"
"US-Mexico Border",2018,"Nov",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"US-Mexico Border",2018,"Nov",3,NA,8,NA,NA,NA,"Vehicle Accident","Central America to US"
"US-Mexico Border",2018,"Nov",1,NA,NA,NA,NA,NA,"Unknown","Central America to US"
"US-Mexico Border",2018,"Nov",2,NA,NA,1,1,NA,"Vehicle Accident","Central America to US"
"Europe",2018,"Nov",1,NA,8,NA,NA,NA,"Vehicle Accident",""
"Mediterranean",2018,"Nov",3,NA,90,NA,NA,NA,"Presumed drowning","Western Mediterranean"
"Central America",2018,"Nov",1,NA,NA,NA,1,NA,"Hit by train",""
"Europe",2018,"Nov",4,NA,NA,NA,4,NA,"Hit by train",""
"Europe",2018,"Nov",NA,1,5,NA,1,NA,"Presumed drowning","Western Balkans"
"Central America",2018,"Nov",1,NA,NA,NA,1,1,"Pneumonia",""
"US-Mexico Border",2018,"Nov",1,NA,NA,NA,1,NA,"Presumed drowning","Central America to US"
"Mediterranean",2018,"Nov",NA,1,13,NA,NA,NA,"Presumed drowning","Western Mediterranean"
"Mediterranean",2018,"Nov",20,9,39,2,27,NA,"Presumed drowning","Western Mediterranean"
"Middle East",2018,"Nov",1,NA,26,NA,1,1,"Vehicle Accident",""
"US-Mexico Border",2018,"Nov",1,NA,NA,NA,1,NA,"Hit by vehicle","Central America to US"
"Mediterranean",2018,"Nov",1,13,42,1,NA,NA,"Presumed drowning","Western Mediterranean"
"Mediterranean",2018,"Nov",1,6,11,NA,7,NA,"Presumed drowning","Central Mediterranean"
"US-Mexico Border",2018,"Nov",1,NA,NA,NA,1,NA,"Sickness and lack of access to medicines","Central America to US"
"US-Mexico Border",2018,"Nov",2,NA,NA,NA,NA,NA,"Unknown","Central America to US"
"US-Mexico Border",2018,"Nov",1,NA,NA,NA,1,1,"Pneumonia","Central America to US"
"US-Mexico Border",2018,"Nov",1,NA,NA,NA,1,1,"Hit by vehicle","Central America to US"
"US-Mexico Border",2018,"Nov",1,NA,NA,NA,1,NA,"Unknown","Central America to US"
"Mediterranean",2018,"Nov",1,NA,10,NA,1,NA,"Drowning","Eastern Mediterranean"
"Mediterranean",2018,"Nov",2,7,1,1,8,NA,"Presumed drowning","Western Mediterranean"
"US-Mexico Border",2018,"Nov",1,NA,NA,NA,NA,NA,"Unknown","Central America to US"
"North Africa",2018,"Nov",NA,22,3,NA,1,1,"Presumed drowning","Western African"
"Europe",2018,"Nov",1,NA,NA,NA,1,NA,"Hit by vehicle",""
"US-Mexico Border",2018,"Nov",1,NA,NA,NA,NA,NA,"Unknown",""
"Caribbean",2018,"Nov",2,NA,NA,1,1,NA,"Presumed drowning",""
"Sub-Saharan Africa",2018,"Nov",1,NA,NA,NA,1,NA,"Vehicle Accident",""
"US-Mexico Border",2018,"Nov",1,NA,NA,NA,1,NA,"Presumed drowning","Central America to US"
"Central America",2018,"Nov",1,NA,NA,NA,1,NA,"Unknown (violence)",""
"Central America",2018,"Nov",1,NA,NA,NA,1,NA,"Hit by train",""
"US-Mexico Border",2018,"Nov",1,NA,NA,NA,1,NA,"Unknown",""
"Mediterranean",2018,"Nov",4,6,3,NA,2,NA,"Presumed drowning","Central Mediterranean"
"US-Mexico Border",2018,"Nov",1,NA,NA,NA,1,NA,"Unknown","Central America to US"
"Europe",2018,"Nov",1,NA,NA,NA,1,NA,"Sickness and lack of access to medicines","Western Balkans"
"Horn of Africa",2018,"Nov",5,NA,NA,2,1,1,"Excessive Physical Abuse, Shot or stabbed",""
"US-Mexico Border",2018,"Nov",1,NA,1,1,NA,NA,"Unknown","Central America to US"
"Mediterranean",2018,"Nov",6,4,5,4,5,6,"Presumed drowning","Eastern Mediterranean"
"South Asia",2018,"Nov",2,NA,5,NA,2,NA,"Shot",""
"Europe",2018,"Nov",1,NA,9,1,NA,NA,"Vehicle Accident","Western Balkans"
"Europe",2018,"Nov",1,NA,NA,NA,1,NA,"Presumed drowning","Western Balkans"
"Sub-Saharan Africa",2018,"Nov",1,NA,NA,NA,1,NA,"Sickness and lack of access to medicines",""
"Sub-Saharan Africa",2018,"Nov",1,NA,NA,1,NA,NA,"Sickness and lack of access to medicines",""
"Europe",2018,"Nov",1,NA,27,NA,1,1,"Vehicle Accident","Western Balkans"
"Mediterranean",2018,"Nov",2,NA,13,NA,2,1,"Unknown","Western Mediterranean"
"Mediterranean",2018,"Nov",1,NA,NA,NA,1,NA,"Drowning","Western Mediterranean"
"Mediterranean",2018,"Nov",NA,1,40,NA,1,NA,"Drowning","Central Mediterranean"
"US-Mexico Border",2018,"Nov",1,NA,NA,NA,1,NA,"Unknown","Central America to US"
"Mediterranean",2018,"Nov",NA,5,NA,1,4,NA,"Presumed drowning","Central Mediterranean"
"Middle East",2018,"Nov",1,NA,NA,NA,1,NA,"Shot",""
"Sub-Saharan Africa",2018,"Nov",1,NA,NA,NA,1,NA,"Vehicle Accident",""
"Sub-Saharan Africa",2018,"Nov",3,NA,NA,1,1,1,"Vehicle Accident",""
"US-Mexico Border",2018,"Nov",1,NA,NA,NA,1,NA,"Presumed drowning","Central America to US"
"Central America",2018,"Nov",1,NA,NA,NA,1,NA,"Fall from train",""
"Middle East",2018,"Nov",5,NA,16,NA,NA,NA,"Vehicle Accident",""
"Sub-Saharan Africa",2018,"Nov",1,NA,NA,NA,1,NA,"Sickness and lack of access to medicines",""
"Mediterranean",2018,"Nov",23,NA,22,NA,9,NA,"Drowning","Western Mediterranean"
"Mediterranean",2018,"Nov",13,18,80,NA,13,NA,"Presumed drowning","Western Mediterranean"
"Europe",2018,"Nov",1,NA,NA,NA,1,NA,"Hit by vehicle",""
"US-Mexico Border",2018,"Nov",1,NA,NA,NA,NA,NA,"Unknown (skeletal remains)","Central America to US"
"Sub-Saharan Africa",2018,"Nov",2,NA,NA,1,1,1,"Vehicle Accident",""
"Sub-Saharan Africa",2018,"Nov",1,NA,NA,1,NA,NA,"Sickness and lack of access to medicines",""
"Sub-Saharan Africa",2018,"Nov",1,NA,NA,1,NA,NA,"Vehicle Accident",""
"US-Mexico Border",2018,"Nov",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"Sub-Saharan Africa",2018,"Nov",1,NA,NA,NA,1,NA,"Presumed drowning",""
"US-Mexico Border",2018,"Nov",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"Sub-Saharan Africa",2018,"Nov",1,NA,NA,1,NA,NA,"Sickness and lack of access to medicines",""
"Central America",2018,"Nov",1,NA,NA,NA,1,NA,"Dehydration",""
"US-Mexico Border",2018,"Nov",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"US-Mexico Border",2018,"Nov",1,NA,NA,NA,1,NA,"Unknown (multiple blunt force injuries)","Central America to US"
"Middle East",2018,"Nov",1,NA,NA,NA,1,NA,"Shot",""
"Sub-Saharan Africa",2018,"Nov",2,NA,NA,2,NA,NA,"Sickness and lack of access to medicines",""
"Sub-Saharan Africa",2018,"Nov",2,NA,NA,2,NA,NA,"Sickness and lack of access to medicines",""
"Europe",2018,"Nov",NA,1,NA,NA,1,NA,"Presumed drowning",""
"Sub-Saharan Africa",2018,"Nov",7,NA,NA,1,1,NA,"Vehicle Accident",""
"Central America",2018,"Oct",1,NA,NA,NA,1,NA,"Hit by train",""
"Horn of Africa",2018,"Oct",3,NA,NA,NA,NA,NA,"Vehicle Accident, Shot or stabbed",""
"North Africa",2018,"Oct",3,NA,NA,3,NA,NA,"Excessive Physical Abuse, Sexual abuse",""
"US-Mexico Border",2018,"Oct",1,NA,NA,NA,1,NA,"Cardiac arrest","Central America to US"
"Mediterranean",2018,"Oct",1,NA,NA,NA,1,NA,"Presumed drowning","Western Mediterranean"
"North Africa",2018,"Oct",2,NA,NA,2,NA,NA,"Sickness and lack of access to medicines, Excessive Physical Abuse, Sexual abuse",""
"North Africa",2018,"Oct",1,NA,NA,NA,1,NA,"Unknown",""
"Sub-Saharan Africa",2018,"Oct",1,NA,NA,1,NA,NA,"Unknown",""
"Central America",2018,"Oct",1,NA,NA,NA,1,NA,"Shot",""
"Sub-Saharan Africa",2018,"Oct",1,NA,NA,NA,1,NA,"Sickness and lack of access to medicines",""
"Sub-Saharan Africa",2018,"Oct",1,NA,NA,NA,1,NA,"Sickness and lack of access to medicines",""
